date,region,bono,urbrur,con_name,postJulorbi,postJulorbi_donut,postJulorbi3days,postJulorbi2days,duringJulorbi,age,gender,education,ethnicity,urbrur_from,remittance_quota,poverty_index,trust_pres,trust_police,trust_parl,trust_officials,trust_ec,trust_rel,trust_neighbours,trust_others,performance_pres,performance_mp,handle_economy,handle_inflation,handle_health,handle_education,handle_corruption,vote2020_inc,gov_bin,opp_bin,dk_bin,nv_bin,vote_intention,vote_intention_inc,socmedia_week,discuss_politics_bin,time_trend,npp_share,ndc_share,margin_raw,margin,npp_win,govt_stronghold
2023-09-25,Bono,1,Rural,Dormaa East,1,1,1,1,0,55,Female,Primary,1,Rural,1,1.33333333333333,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Non-voter,0,0,0,1,,,0,0,8,66.4,33.42,32.98,32.98,1,1
2023-09-25,Bono,1,Rural,Dormaa East,1,1,1,1,0,25,Male,Primary,1,Rural,0,1,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,DKs,0,0,1,0,,,1,1,8,66.4,33.42,32.98,32.98,1,1
2023-09-22,Bono,1,Rural,Dormaa Central,1,,,,1,65,Male,None,1,Rural,0,1.33333333333333,3,1,2,1,2,3,3,3,3,3,1,1,1,3,1,Govt,1,0,0,0,,,0,0,5,59.6,39.28,20.32,20.32,1,1
2023-09-27,Bono,1,Rural,Sunyani West,1,1,,,0,35,Female,Primary,95,Rural,0,1.66666666666667,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,DKs,0,0,1,0,,,0,0,10,62.26,36.51,25.75,25.75,1,1
2023-09-18,Greater Accra,0,Urban,Odododiodio,0,0,0,,0,43,Female,Secondary,3,Urban,1,0.166666666666667,2,2,2,2,2,2,2,2,3,1,2,1,1,3,3,Govt,1,0,0,0,Govt,1,0,1,1,44.03,55.38,-11.35,11.35,0,0
2023-09-24,Bono,1,Urban,Jaman North,1,1,1,1,0,25,Male,Secondary,95,Urban,1,1,2,2,2,3,3,4,2,1,1,1,1,1,1,3,2,Opp,0,1,0,0,,,1,0,7,47.03,50.96,-3.93,3.93,0,0
2023-09-20,Bono,1,Rural,Wenchi,0,0,0,0,0,20,Male,Secondary,1,Rural,1,0,2,1,1,3,2,2,1,1,2,2,1,1,3,3,1,Non-voter,0,0,0,1,Govt,1,1,1,3,49.55,49,0.549999999999997,0.55,1,0
2023-09-19,Bono,1,Rural,Dormaa West,0,0,0,0,0,35,Female,Primary,95,Rural,0,2,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,Opp,0,1,0,0,Opp,0,0,0,2,45.49,53.64,-8.15,8.15,0,0
2023-09-19,Bono,1,Rural,Dormaa West,0,0,0,0,0,32,Male,Secondary,95,Urban,0,1.16666666666667,2,2,2,3,2,4,4,3,2,2,2,1,2,3,2,Opp,0,1,0,0,Opp,0,0,1,2,45.49,53.64,-8.15,8.15,0,0
2023-09-27,Greater Accra,0,Urban,Okaikwei North,1,1,,,0,32,Female,Primary,1,Rural,1,0.166666666666667,2,2,2,2,2,2,2,2,3,2,2,3,1,3,3,Govt,1,0,0,0,,,1,1,10,49.87,49.46,0.409999999999997,0.41,1,0
2023-09-25,Greater Accra,0,Urban,Trobu,1,1,1,1,0,41,Female,Primary,3,Urban,1,0,2,2,1,2,2,4,1,1,1,1,1,2,2,2,1,Non-voter,0,0,0,1,,,0,0,8,65.1,34.08,31.02,31.02,1,1
2023-09-23,Greater Accra,0,Urban,Korle Klottey,1,,,,1,18,Male,Primary,1,Rural,1,1.83333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Non-voter,0,0,0,1,,,1,1,6,46.73,52.46,-5.73,5.73,0,0
2023-09-20,Bono,1,Urban,Sunyani West,0,0,0,0,0,19,Male,Secondary,2,Urban,0,0,2,3,1,2,2,4,3,2,2,2,2,1,3,4,1,Non-voter,0,0,0,1,Govt,1,1,1,3,62.26,36.51,25.75,25.75,1,1
2023-09-21,Greater Accra,0,Rural,Shai-Osudoku,,,,,1,47,Female,Primary,3,Rural,0,2.5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,Opp,0,1,0,0,Opp,0,0,0,4,26.97,72.14,-45.17,45.17,0,0
2023-09-20,Greater Accra,0,Urban,Odododiodio,0,0,0,0,0,23,Female,Secondary,3,Urban,1,0.833333333333333,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,Opp,0,1,0,0,Opp,0,0,1,3,44.03,55.38,-11.35,11.35,0,0
2023-09-28,Greater Accra,0,Urban,Korle Klottey,1,1,,,0,44,Female,None,7,Rural,0,0.666666666666667,3,3,3,3,3,3,1,1,1,1,1,1,4,4,1,Govt,1,0,0,0,,,1,1,11,46.73,52.46,-5.73,5.73,0,0
2023-09-20,Greater Accra,0,Urban,Ningo Prampram,0,0,0,0,0,38,Female,Secondary,3,Rural,1,0.333333333333333,1,1,1,3,1,3,2,3,1,1,1,1,1,1,1,DKs,0,0,1,0,,,1,0,3,26.78,71.59,-44.81,44.81,0,0
2023-09-23,Bono,1,Rural,Dormaa Central,1,,,,1,64,Male,Secondary,1,Urban,1,0,2,2,3,2,2,3,2,2,,3,2,1,2,3,2,DKs,0,0,1,0,,,0,1,6,59.6,39.28,20.32,20.32,1,1
2023-09-28,Greater Accra,0,Urban,Ashaiman,1,1,,,0,42,Female,Secondary,1,Rural,0,0,2,2,3,3,3,3,2,3,2,1,1,1,1,3,1,Govt,1,0,0,0,,,0,0,11,34.89,64.17,-29.28,29.28,0,0
2023-09-26,Bono,1,Urban,Sunyani East,1,1,1,,0,43,Female,Primary,1,Rural,0,0,2,2,2,3,2,4,3,3,1,1,2,1,2,3,1,Govt,1,0,0,0,,,1,0,9,65.09,34.01,31.08,31.08,1,1
2023-09-20,Bono,1,Urban,Sunyani West,0,0,0,0,0,25,Male,Secondary,1,Urban,0,0.833333333333333,2,3,2,3,3,1,1,1,3,3,3,1,3,3,3,Non-voter,0,0,0,1,Govt,1,0,1,3,62.26,36.51,25.75,25.75,1,1
2023-09-22,Bono,1,Rural,Banda,1,,,,1,45,Female,None,2,Rural,0,1.16666666666667,1,2,1,3,1,3,3,2,1,1,1,1,3,2,1,Opp,0,1,0,0,Opp,0,0,0,5,50.98,48.22,2.76,2.76,1,0
2023-09-26,Bono,1,Urban,Sunyani East,1,1,1,,0,19,Female,Secondary,1,Urban,1,0,2,2,3,2,2,4,2,3,2,3,2,1,3,3,1,Non-voter,0,0,0,1,,,1,1,9,65.09,34.01,31.08,31.08,1,1
2023-09-29,Greater Accra,0,Urban,Krowor,1,1,,,0,42,Female,Secondary,1,Rural,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,DKs,0,0,1,0,,,1,0,12,46.71,52.55,-5.84,5.84,0,0
2023-09-27,Greater Accra,0,Urban,Okaikwei North,1,1,,,0,64,Male,Primary,1,Urban,1,0.8,4,3,2,2,3,4,1,1,4,1,3,2,4,4,2,Govt,1,0,0,0,Govt,1,0,0,10,49.87,49.46,0.409999999999997,0.41,1,0
2023-09-27,Greater Accra,0,Urban,Krowor,1,1,,,0,57,Female,None,1,Rural,1,0.666666666666667,3,1,3,3,3,3,1,1,2,1,1,1,1,1,1,Non-voter,0,0,0,1,Govt,1,0,0,10,46.71,52.55,-5.84,5.84,0,0
2023-09-19,Greater Accra,0,Urban,Ablekuma South,0,0,0,0,0,47,Male,Primary,3,Urban,0,2.16666666666667,2,1,2,1,3,2,2,2,1,1,1,1,1,1,1,Govt,1,0,0,0,Opp,0,0,1,2,39.86,59.54,-19.68,19.68,0,0
2023-09-25,Greater Accra,0,Urban,Trobu,1,1,1,1,0,63,Male,Secondary,3,Urban,0,0.833333333333333,2,1,2,1,2,4,2,3,3,1,1,1,3,3,1,Opp,0,1,0,0,Opp,0,0,1,8,65.1,34.08,31.02,31.02,1,1
2023-09-26,Greater Accra,0,Urban,Trobu,1,1,1,,0,31,Male,Secondary,1,Urban,1,1.16666666666667,1,1,2,2,2,2,1,1,2,2,2,1,1,1,1,Govt,1,0,0,0,,,1,1,9,65.1,34.08,31.02,31.02,1,1
2023-09-26,Greater Accra,0,Urban,Krowor,1,1,1,,0,42,Male,Secondary,2,Rural,0,0.5,1,1,1,1,1,3,2,2,1,1,1,1,1,1,1,Govt,1,0,0,0,Opp,0,0,1,9,46.71,52.55,-5.84,5.84,0,0
2023-09-20,Greater Accra,0,Urban,Ningo Prampram,0,0,0,0,0,42,Male,Secondary,2,Urban,1,0.166666666666667,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,DKs,0,0,1,0,Opp,0,1,1,3,26.78,71.59,-44.81,44.81,0,0
2023-09-19,Bono,1,Rural,Wenchi,0,0,0,0,0,72,Female,None,95,Rural,1,0.666666666666667,2,2,3,3,3,2,2,2,2,2,2,1,2,3,1,Opp,0,1,0,0,Opp,0,0,0,2,49.55,49,0.549999999999997,0.55,1,0
2023-09-21,Bono,1,Rural,Dormaa Central,,,,,1,29,Female,Secondary,4,Rural,0,1,1,2,2,2,2,3,2,2,1,2,1,1,2,2,1,Govt,1,0,0,0,Opp,0,1,1,4,59.6,39.28,20.32,20.32,1,1
2023-09-27,Greater Accra,0,Urban,Krowor,1,1,,,0,39,Female,Secondary,2,Rural,1,0.833333333333333,1,1,1,1,1,4,2,2,2,1,1,1,1,1,1,Govt,1,0,0,0,Opp,0,1,0,10,46.71,52.55,-5.84,5.84,0,0
2023-09-26,Greater Accra,0,Urban,Ashaiman,1,1,1,,0,61,Female,Primary,3,Rural,1,0.666666666666667,3,3,3,3,3,1,1,1,3,1,1,1,1,3,1,Opp,0,1,0,0,,,0,0,9,34.89,64.17,-29.28,29.28,0,0
2023-09-23,Greater Accra,0,Urban,Krowor,1,,,,1,52,Female,Secondary,2,Rural,1,0,1,1,1,1,1,4,3,3,1,1,1,1,1,1,1,Opp,0,1,0,0,Opp,0,1,0,6,46.71,52.55,-5.84,5.84,0,0
2023-09-26,Greater Accra,0,Urban,Trobu,1,1,1,,0,54,Male,Primary,3,Urban,0,2.33333333333333,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,Non-voter,0,0,0,1,,,0,1,9,65.1,34.08,31.02,31.02,1,1
2023-09-20,Bono,1,Urban,Sunyani West,0,0,0,0,0,76,Female,None,1,Urban,1,0.333333333333333,2,2,2,3,3,3,3,2,1,1,3,2,3,3,3,Govt,1,0,0,0,Govt,1,0,1,3,62.26,36.51,25.75,25.75,1,1
2023-09-25,Greater Accra,0,Urban,Trobu,1,1,1,1,0,26,Female,Primary,3,Urban,1,1.16666666666667,3,3,3,2,3,4,2,2,3,1,3,1,4,4,1,Non-voter,0,0,0,1,Opp,0,0,1,8,65.1,34.08,31.02,31.02,1,1
2023-09-18,Bono,1,Rural,Dormaa West,0,0,0,,0,20,Male,Secondary,7,Rural,0,0.666666666666667,2,2,2,2,1,2,2,2,2,2,2,1,2,4,1,Non-voter,0,0,0,1,Opp,0,1,0,1,45.49,53.64,-8.15,8.15,0,0
2023-09-24,Bono,1,Rural,Dormaa East,1,1,1,1,0,65,Male,Primary,7,Urban,1,0.333333333333333,1,1,2,3,1,2,2,2,2,2,1,1,2,2,1,Opp,0,1,0,0,Opp,0,0,0,7,66.4,33.42,32.98,32.98,1,1
2023-09-24,Bono,1,Rural,Dormaa East,1,1,1,1,0,35,Male,Secondary,1,Rural,1,0.833333333333333,2,2,2,2,2,2,2,2,3,3,3,2,2,2,1,Govt,1,0,0,0,Govt,1,1,1,7,66.4,33.42,32.98,32.98,1,1
2023-09-18,Greater Accra,0,Rural,Ningo Prampram,0,0,0,,0,39,Female,Secondary,3,Rural,1,2,3,3,3,2,3,1,2,2,3,3,3,3,3,2,2,DKs,0,0,1,0,,,1,0,1,26.78,71.59,-44.81,44.81,0,0
2023-09-20,Greater Accra,0,Urban,Okaikwei South,0,0,0,0,0,54,Male,Secondary,2,Urban,1,1.2,3,4,3,2,4,3,2,1,3,2,3,3,4,4,1,Govt,1,0,0,0,Govt,1,0,1,3,57.05,42.23,14.82,14.82,1,0
2023-09-19,Greater Accra,0,Urban,Shai-Osudoku,0,0,0,0,0,32,Female,Secondary,3,Urban,0,0.166666666666667,2,3,2,2,1,1,1,1,3,1,3,1,3,3,2,Opp,0,1,0,0,Opp,0,1,0,2,26.97,72.14,-45.17,45.17,0,0
2023-09-20,Greater Accra,0,Urban,Ningo Prampram,0,0,0,0,0,28,Male,Secondary,2,Urban,0,0.333333333333333,3,1,2,2,2,3,2,1,1,1,1,1,1,1,1,DKs,0,0,1,0,,,1,0,3,26.78,71.59,-44.81,44.81,0,0
2023-09-22,Bono,1,Rural,Banda,1,,,,1,23,Male,Secondary,2,Rural,0,1.5,2,2,3,4,2,2,1,1,2,3,2,1,2,2,2,Opp,0,1,0,0,Opp,0,0,0,5,50.98,48.22,2.76,2.76,1,0
2023-09-24,Greater Accra,0,Urban,Ashaiman,1,1,1,1,0,29,Female,Primary,1,Rural,0,1.83333333333333,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,Opp,0,1,0,0,,,0,0,7,34.89,64.17,-29.28,29.28,0,0
2023-09-19,Bono,1,Rural,Wenchi,0,0,0,0,0,32,Male,None,95,Rural,0,1.16666666666667,1,2,2,3,1,3,1,1,1,3,1,1,3,2,1,Opp,0,1,0,0,Opp,0,0,0,2,49.55,49,0.549999999999997,0.55,1,0
2023-09-18,Bono,1,Rural,Dormaa West,0,0,0,,0,48,Female,Primary,1,Rural,1,1.5,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,Govt,1,0,0,0,Govt,1,0,1,1,45.49,53.64,-8.15,8.15,0,0
2023-09-24,Bono,1,Rural,Dormaa East,1,1,1,1,0,47,Male,Secondary,1,Rural,0,1,2,1,3,1,1,2,2,2,3,3,2,1,1,2,1,Non-voter,0,0,0,1,Govt,1,0,1,7,66.4,33.42,32.98,32.98,1,1
2023-09-22,Bono,1,Rural,Dormaa Central,1,,,,1,28,Female,Secondary,1,Rural,1,1.16666666666667,3,1,3,1,1,3,2,1,3,3,1,1,2,2,1,Govt,1,0,0,0,,,0,0,5,59.6,39.28,20.32,20.32,1,1
2023-09-24,Bono,1,Rural,Dormaa East,1,1,1,1,0,37,Male,Primary,1,Rural,1,0.833333333333333,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,DKs,0,0,1,0,,,0,1,7,66.4,33.42,32.98,32.98,1,1
2023-09-19,Bono,1,Rural,Dormaa West,0,0,0,0,0,58,Male,Primary,1,Rural,1,1.83333333333333,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,DKs,0,0,1,0,,,0,0,2,45.49,53.64,-8.15,8.15,0,0
2023-09-25,Bono,1,Urban,Jaman North,1,1,1,1,0,37,Male,Secondary,1,Urban,0,0.166666666666667,2,1,2,3,3,4,3,1,1,1,2,1,3,3,1,Govt,1,0,0,0,Opp,0,1,0,8,47.03,50.96,-3.93,3.93,0,0
2023-09-21,Bono,1,Rural,Dormaa Central,,,,,1,27,Male,Primary,4,Rural,1,1.16666666666667,3,1,3,2,3,2,2,1,3,3,1,1,1,3,1,Opp,0,1,0,0,Opp,0,1,1,4,59.6,39.28,20.32,20.32,1,1
2023-09-23,Bono,1,Rural,Tain,1,,,,1,29,Female,Secondary,95,Rural,0,0.5,2,2,2,4,3,3,2,2,2,2,3,2,4,3,1,Govt,1,0,0,0,,,1,0,6,46.81,50.84,-4.03,4.03,0,0
2023-09-20,Bono,1,Rural,Dormaa West,0,0,0,0,0,42,Female,Secondary,1,Rural,1,1,3,2,2,2,2,2,2,2,2,1,2,1,2,3,1,Govt,1,0,0,0,Govt,1,0,1,3,45.49,53.64,-8.15,8.15,0,0
2023-09-26,Bono,1,Rural,Sunyani West,1,1,1,,0,60,Male,Primary,1,Rural,1,0.833333333333333,1,2,1,3,1,3,2,2,1,1,1,1,1,3,1,Govt,1,0,0,0,,,0,1,9,62.26,36.51,25.75,25.75,1,1
2023-09-24,Bono,1,Rural,Jaman North,1,1,1,1,0,41,Male,Primary,1,Rural,0,1,1,2,1,3,2,3,2,2,1,1,1,1,2,2,2,Opp,0,1,0,0,Opp,0,0,1,7,47.03,50.96,-3.93,3.93,0,0
2023-09-19,Bono,1,Rural,Wenchi,0,0,0,0,0,32,Female,Primary,1,Rural,0,0.5,1,1,1,3,2,3,2,2,2,2,2,1,3,2,2,Govt,1,0,0,0,,,0,1,2,49.55,49,0.549999999999997,0.55,1,0
2023-09-20,Bono,1,Rural,Dormaa West,0,0,0,0,0,18,Female,Primary,1,Urban,0,0.5,2,1,2,2,2,3,3,3,2,2,2,2,2,3,2,Non-voter,0,0,0,1,Opp,0,1,0,3,45.49,53.64,-8.15,8.15,0,0
2023-09-20,Greater Accra,0,Rural,Ningo Prampram,0,0,0,0,0,30,Female,None,3,Rural,0,1.33333333333333,1,1,1,3,1,2,2,2,1,2,1,1,1,1,1,Govt,1,0,0,0,,,0,1,3,26.78,71.59,-44.81,44.81,0,0
2023-09-20,Bono,1,Rural,Dormaa West,0,0,0,0,0,52,Male,Secondary,1,Rural,0,1.16666666666667,2,1,1,2,2,3,2,2,2,2,2,1,3,3,1,Govt,1,0,0,0,Govt,1,1,0,3,45.49,53.64,-8.15,8.15,0,0
2023-09-25,Bono,1,Rural,Dormaa East,1,1,1,1,0,22,Male,Secondary,1,Rural,0,0.666666666666667,3,2,3,3,3,2,2,2,3,3,2,2,2,4,2,Govt,1,0,0,0,Govt,1,0,1,8,66.4,33.42,32.98,32.98,1,1
2023-09-18,Bono,1,Rural,Dormaa West,0,0,0,,0,68,Female,Primary,1,Rural,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Govt,1,0,0,0,Govt,1,0,1,1,45.49,53.64,-8.15,8.15,0,0
2023-09-19,Bono,1,Rural,Dormaa West,0,0,0,0,0,72,Female,None,1,Rural,0,1.83333333333333,2,1,1,1,1,3,3,3,1,1,1,1,1,1,1,Govt,1,0,0,0,Govt,1,0,0,2,45.49,53.64,-8.15,8.15,0,0
2023-09-23,Bono,1,Rural,Dormaa Central,1,,,,1,28,Male,Secondary,1,Rural,0,1,2,1,1,1,1,2,2,2,2,2,1,1,1,2,1,Non-voter,0,0,0,1,,,1,1,6,59.6,39.28,20.32,20.32,1,1
2023-09-25,Bono,1,Rural,Dormaa East,1,1,1,1,0,41,Male,Primary,1,Rural,0,1.16666666666667,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,Govt,1,0,0,0,,,1,1,8,66.4,33.42,32.98,32.98,1,1
2023-09-20,Bono,1,Urban,Sunyani West,0,0,0,0,0,33,Female,Secondary,1,Urban,1,0,1,2,2,3,3,3,3,2,1,3,2,1,3,3,1,Govt,1,0,0,0,,,1,0,3,62.26,36.51,25.75,25.75,1,1
2023-09-18,Greater Accra,0,Rural,Ningo Prampram,0,0,0,,0,32,Female,None,3,Rural,0,0.166666666666667,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,DKs,0,0,1,0,,,0,1,1,26.78,71.59,-44.81,44.81,0,0
2023-09-19,Bono,1,Rural,Wenchi,0,0,0,0,0,49,Male,Primary,1,Rural,0,0,3,2,3,4,2,4,4,3,3,3,3,1,3,3,2,Govt,1,0,0,0,Govt,1,0,1,2,49.55,49,0.549999999999997,0.55,1,0
2023-09-26,Greater Accra,0,Urban,Adentan,1,1,1,,0,25,Female,Secondary,95,Rural,1,0,1,1,1,1,1,3,2,2,1,1,1,1,3,2,1,Non-voter,0,0,0,1,,,1,0,9,45.87,53.35,-7.48,7.48,0,0
2023-09-22,Greater Accra,0,Urban,Okaikwei North,1,,,,1,18,Male,Primary,1,Rural,1,1,1,3,,2,1,4,2,3,2,3,4,3,4,1,3,Opp,0,1,0,0,Opp,0,0,0,5,49.87,49.46,0.409999999999997,0.41,1,0
2023-09-20,Greater Accra,0,Rural,Shai-Osudoku,0,0,0,0,0,50,Female,None,2,Rural,1,0.333333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Govt,1,0,0,0,Opp,0,0,1,3,26.97,72.14,-45.17,45.17,0,0
2023-09-21,Greater Accra,0,Rural,Shai-Osudoku,,,,,1,45,Female,Primary,3,Urban,1,1.5,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,Opp,0,1,0,0,Opp,0,0,1,4,26.97,72.14,-45.17,45.17,0,0
2023-09-18,Greater Accra,0,Urban,Odododiodio,0,0,0,,0,57,Female,Primary,2,Urban,1,2.16666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Opp,0,1,0,0,,,0,0,1,44.03,55.38,-11.35,11.35,0,0
2023-09-21,Greater Accra,0,Urban,Okaikwei North,,,,,1,25,Male,Primary,1,Urban,0,0,4,2,2,1,3,1,1,1,3,4,2,1,3,3,1,Non-voter,0,0,0,1,Govt,1,1,1,4,49.87,49.46,0.409999999999997,0.41,1,0
2023-09-26,Bono,1,Urban,Sunyani East,1,1,1,,0,18,Male,Secondary,1,Urban,0,1,1,1,1,1,1,4,3,3,3,3,3,3,3,1,2,Non-voter,0,0,0,1,,,1,0,9,65.09,34.01,31.08,31.08,1,1
2023-09-22,Bono,1,Rural,Tain,1,,,,1,35,Male,None,95,Rural,0,1.16666666666667,4,3,2,4,4,4,2,2,4,1,4,3,4,4,4,Non-voter,0,0,0,1,Govt,1,0,0,5,46.81,50.84,-4.03,4.03,0,0
2023-09-25,Bono,1,Urban,Jaman North,1,1,1,1,0,23,Female,Secondary,1,Urban,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,Govt,1,0,0,0,,,0,0,8,47.03,50.96,-3.93,3.93,0,0
2023-09-24,Bono,1,Urban,Jaman North,1,1,1,1,0,52,Female,None,95,Urban,0,0.5,3,2,2,3,3,2,2,1,3,1,3,1,3,4,2,Govt,1,0,0,0,,,0,0,7,47.03,50.96,-3.93,3.93,0,0
2023-09-19,Greater Accra,0,Rural,Ningo Prampram,0,0,0,0,0,40,Female,Primary,2,Rural,0,0.833333333333333,1,1,1,1,1,4,2,2,1,1,1,1,1,1,1,Opp,0,1,0,0,,,0,0,2,26.78,71.59,-44.81,44.81,0,0
2023-09-27,Greater Accra,0,Urban,Krowor,1,1,,,0,48,Female,None,4,Rural,0,1,3,3,3,3,3,2,2,2,1,1,1,2,2,1,1,Govt,1,0,0,0,,,0,0,10,46.71,52.55,-5.84,5.84,0,0
2023-09-29,Greater Accra,0,Urban,Krowor,1,1,,,0,48,Male,None,3,Rural,1,1.5,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,Non-voter,0,0,0,1,Opp,0,1,1,12,46.71,52.55,-5.84,5.84,0,0
2023-09-28,Greater Accra,0,Urban,Ashaiman,1,1,,,0,38,Female,Secondary,1,Rural,1,0,1,1,1,1,1,3,2,2,2,1,1,1,1,3,1,Govt,1,0,0,0,Opp,0,1,0,11,34.89,64.17,-29.28,29.28,0,0
2023-09-24,Greater Accra,0,Urban,Trobu,1,1,1,1,0,53,Male,Secondary,1,Urban,1,0,4,1,2,2,4,4,3,3,3,2,3,3,3,4,4,Govt,1,0,0,0,Govt,1,0,1,7,65.1,34.08,31.02,31.02,1,1
2023-09-21,Greater Accra,0,Urban,Korle Klottey,,,,,1,20,Male,Secondary,3,Urban,1,0,3,2,3,3,3,4,3,3,3,3,3,3,3,3,3,Non-voter,0,0,0,1,Govt,1,1,0,4,46.73,52.46,-5.73,5.73,0,0
2023-09-26,Bono,1,Urban,Sunyani East,1,1,1,,0,37,Male,University,1,Urban,1,0,1,2,1,3,1,2,1,1,1,3,1,1,2,1,1,DKs,0,0,1,0,,,1,0,9,65.09,34.01,31.08,31.08,1,1
2023-09-26,Bono,1,Urban,Sunyani East,1,1,1,,0,42,Male,University,2,Urban,0,0,1,2,2,3,2,2,1,1,1,3,2,1,2,2,1,DKs,0,0,1,0,,,1,0,9,65.09,34.01,31.08,31.08,1,1
2023-09-19,Greater Accra,0,Urban,Odododiodio,0,0,0,0,0,32,Male,Primary,3,Urban,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,Non-voter,0,0,0,1,,,1,0,2,44.03,55.38,-11.35,11.35,0,0
2023-09-28,Greater Accra,0,Urban,Ashaiman,1,1,,,0,18,Male,Secondary,1,Urban,1,1.5,2,1,1,3,3,2,2,2,1,1,1,1,1,1,1,Non-voter,0,0,0,1,,,1,1,11,34.89,64.17,-29.28,29.28,0,0
2023-09-20,Greater Accra,0,Rural,Shai-Osudoku,0,0,0,0,0,21,Male,Primary,2,Urban,0,1.33333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Non-voter,0,0,0,1,Opp,0,1,0,3,26.97,72.14,-45.17,45.17,0,0
2023-09-22,Greater Accra,0,Urban,Okaikwei North,1,,,,1,20,Male,Secondary,2,Rural,1,1.16666666666667,3,3,3,3,3,3,3,3,2,1,3,3,4,4,2,Non-voter,0,0,0,1,Opp,0,1,1,5,49.87,49.46,0.409999999999997,0.41,1,0
2023-09-21,Greater Accra,0,Urban,Okaikwei North,,,,,1,22,Male,Primary,2,Urban,1,1.66666666666667,2,2,3,1,4,3,2,2,2,1,2,1,3,3,1,Non-voter,0,0,0,1,Govt,1,1,1,4,49.87,49.46,0.409999999999997,0.41,1,0
2023-09-21,Greater Accra,0,Urban,Korle Klottey,,,,,1,65,Male,Secondary,3,Rural,1,0.333333333333333,1,1,1,3,1,3,2,2,2,3,2,2,3,3,2,DKs,0,0,1,0,,,1,0,4,46.73,52.46,-5.73,5.73,0,0
2023-09-26,Greater Accra,0,Urban,Ashaiman,1,1,1,,0,32,Male,Secondary,1,Urban,1,0.666666666666667,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,Opp,0,1,0,0,Opp,0,1,0,9,34.89,64.17,-29.28,29.28,0,0
2023-09-26,Greater Accra,0,Urban,Krowor,1,1,1,,0,31,Female,Secondary,3,Rural,1,0,1,1,1,1,1,3,1,1,2,2,1,1,1,1,1,DKs,0,0,1,0,,,0,0,9,46.71,52.55,-5.84,5.84,0,0
2023-09-25,Bono,1,Rural,Jaman North,1,1,1,1,0,60,Female,Primary,1,Rural,1,0,2,1,2,2,2,4,2,2,2,1,1,1,2,2,1,Opp,0,1,0,0,Opp,0,0,0,8,47.03,50.96,-3.93,3.93,0,0
2023-09-22,Greater Accra,0,Urban,Krowor,1,,,,1,54,Male,Secondary,3,Rural,1,0,1,3,1,3,1,1,1,1,2,2,1,1,1,1,1,DKs,0,0,1,0,,,1,0,5,46.71,52.55,-5.84,5.84,0,0
2023-09-23,Bono,1,Rural,Tain,1,,,,1,32,Female,Secondary,1,Rural,1,0.166666666666667,1,1,1,1,1,2,3,3,2,2,1,1,1,1,1,Opp,0,1,0,0,,,0,1,6,46.81,50.84,-4.03,4.03,0,0
2023-09-28,Greater Accra,0,Urban,Adentan,1,1,,,0,,Female,None,4,Rural,0,0.666666666666667,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1,Non-voter,0,0,0,1,,,0,1,11,45.87,53.35,-7.48,7.48,0,0
2023-09-20,Greater Accra,0,Urban,Shai-Osudoku,0,0,0,0,0,69,Female,University,2,Rural,1,0.333333333333333,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,Opp,0,1,0,0,Opp,0,0,0,3,26.97,72.14,-45.17,45.17,0,0
2023-09-19,Greater Accra,0,Rural,Shai-Osudoku,0,0,0,0,0,40,Male,Primary,3,Rural,0,2.33333333333333,3,4,3,3,3,1,1,1,1,1,1,1,1,1,1,Govt,1,0,0,0,Govt,1,0,1,2,26.97,72.14,-45.17,45.17,0,0
2023-09-23,Bono,1,Rural,Dormaa Central,1,,,,1,52,Male,Secondary,1,Rural,1,0.5,2,2,2,2,2,2,2,2,3,3,1,1,1,3,1,Govt,1,0,0,0,Govt,1,1,0,6,59.6,39.28,20.32,20.32,1,1
